ID,study,experimental.history (yr),rrMWD,varMWD
1461,17,3,0.369217318,0.00824107
1462,17,3,0.113758886,0.00824107
1463,17,3,0.113758885,0.00824107
1910,177,3,0.503905181,0.010988094
1911,177,3,0.370373788,0.010988094
1912,177,3,0.346276237,0.010988094
1913,177,3,0.393904286,0.010988094
1914,177,3,0.321583624,0.010988094
1915,177,3,0.321583624,0.010988094
1916,177,3,0.393904286,0.010988094
1917,178,3,0.380772496,0.010988094
1918,178,3,0.311779624,0.010988094
1919,178,3,0.380772496,0.010988094
1920,178,3,0.346870944,0.010988094
1921,178,3,0.346870944,0.010988094
1922,178,3,0.329479201,0.010988094
1923,178,3,0.363965377,0.010988094
2150,204,3,-0.221340124,0.00824107
372,41,2,0.185740364,0.00824107
373,41,2,0.168528235,0.00824107
374,41,2,0.166210737,0.00824107
375,41,2,0.158056935,0.00824107
1859,174,2,-0.161366192,0.030490154
1860,174,2,0.220787838,0.021049802
1861,174,2,-0.672708512,0.015459301
1862,174,2,-0.469413833,0.046312569
1863,174,2,-0.199925261,0.032143113
1864,174,2,-0.175632569,0.023793206
1896,177,2,0.550046337,0.010988094
1897,177,2,0.587786665,0.010988094
1898,177,2,0.510825624,0.010988094
1899,177,2,0.78845736,0.010988094
1900,177,2,0.659245629,0.010988094
1901,177,2,0.287682072,0.010988094
1902,177,2,0.336472237,0.010988094
1903,178,2,0.185717146,0.010988094
1904,178,2,0.115512887,0.010988094
1905,178,2,0.133531393,0.010988094
1906,178,2,0.15123097,0.010988094
1907,178,2,0.097163748,0.010988094
1908,178,2,-0.063178902,0.010988094
1909,178,2,0.185717146,0.010988094
2135,200,2,0.289704318,0.000491825
2136,200,2,0.258932659,0.000506397
2137,200,2,0.313657559,0.000632079
2138,200,2,0.313657559,0.000439509
2143,201,2,0.151726436,0.001047832
2144,201,2,0,0.001548086
2145,201,2,0.101964926,0.000518373
2146,201,2,0.141970261,0.00092638
22,2,1,0.387765531,0.010988094
23,2,1,0.322168249,0.010988094
24,2,1,0.120627988,0.010988094
25,2,1,0.09763847,0.010988094
154,18,1,-0.3074847,0.205473587
155,18,1,-0.765467842,0.085444384
156,18,1,-0.794929875,0.251214013
157,18,1,-0.381367557,0.061162017
368,41,1,0.167472626,0.00824107
369,41,1,0.148889048,0.00824107
370,41,1,0.120349656,0.00824107
371,41,1,0.115512887,0.00824107
1812,125,1,-0.084993213,0.010988094
1813,125,1,-0.143100844,0.010988094
1876,176,1,0.101782694,0.00180642
1877,176,1,-0.041672696,0.008518607
1878,176,1,0.202524264,0.002126205
1879,176,1,-0.013187004,0.00286626
1880,176,1,-0.049226941,0.004452987
1881,176,1,0.083730893,0.002164965
1882,177,1,-0.336472237,0.010988094
1883,177,1,-0.387765531,0.010988094
1884,177,1,-0.113328685,0.010988094
1885,177,1,0.133531393,0.010988094
1886,177,1,-0.036367644,0.010988094
1887,177,1,-0.387765531,0.010988094
1888,177,1,-0.287682072,0.010988094
1889,178,1,-0.043485112,0.010988094
1890,178,1,-0.021506205,0.010988094
1891,178,1,-0.112477983,0.010988094
1892,178,1,0,0.010988094
1893,178,1,0.021053409,0.010988094
1894,178,1,0.081678031,0.010988094
1895,178,1,0.192903666,0.010988094
2076,194,1,-0.041242959,0.010988094
2077,194,1,-0.082836006,0.010988094
2078,194,1,0.013072082,0.010988094
2131,200,1,0.044850566,0.00110796
2132,200,1,0.104442664,0.000952933
2133,200,1,0.144934025,0.001092943
2134,200,1,0.148894426,0.000717429
2139,201,1,-0.195566783,0.002206516
2140,201,1,-0.054067221,0.002006627
2141,201,1,-0.148683198,0.002033234
2142,201,1,-0.244757027,0.002035928
