ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,POC.ck (g/kg),POC.csd,POC.cn,POC.t,POC.tsd,POC.tn,rrPOC,varPOC,MAOC.ck (g/kg),MAOC.csd,MAOC.cn,MAOC.t,MAOC.tsd,MAOC.tn,rrMAOC,varMAOC
67,13,Obrycki,2018,Soil Science Society of America Journal,16,-93.76448,42.017584,cold,loam,0-10,5,upland,207.6,yes,no-tillage,rainfed,non-legume,1,surface,5,1.04E+00,4,5,1.25E+00,4,0,0.026441,18,1.102266,4,18,1.017018,4,0,0.001735583
68,13,Obrycki,2018,Soil Science Society of America Journal,16,-93.76448,42.017584,cold,loam,0-10,5,upland,211.2,yes,no-tillage,rainfed,non-legume,1,surface,6,1.25E+00,4,8,2.00E+00,4,0.287682072,0.026475694,21,1.285977,4,21,1.186521,4,0,0.001735583
69,13,Obrycki,2018,Soil Science Society of America Journal,16,-93.76448,42.017584,cold,loam,0-10,5,upland,207.6,yes,no-tillage,rainfed,non-legume,1,surface,2,4.16E-01,4,5,1.25E+00,4,0.916290732,0.026441,18,1.102266,4,18,1.017018,4,0,0.001735583
70,13,Obrycki,2018,Soil Science Society of America Journal,16,-93.76448,42.017584,cold,loam,0-10,5,upland,211.2,yes,no-tillage,rainfed,non-legume,1,surface,2,4.16E-01,4,4,9.99E-01,4,0.693147181,0.026409766,21,1.285977,4,19,1.073519,4,-0.100083459,0.001735583
71,14,Yao,2019,Soil Science Society of America Journal,17,107.7333333,35.2,cold,loam,0-10,8,upland,101.25,no,conventional,rainfed,legume,1,incorporated,2.98E+00,1.56E-01,3,3.60E+00,3.46E-01,3,0.189010545,0.003992588,6.00E+00,2.42E-01,3,6.30E+00,1.56E-01,3,0.048790164,0.000746643
72,14,Yao,2019,Soil Science Society of America Journal,17,107.7333333,35.2,cold,loam,0-10,8,upland,101.25,no,conventional,rainfed,legume,1,incorporated,2.98E+00,1.56E-01,3,3.65E+00,1.73E-01,3,0.202803867,0.001662306,6.00E+00,2.42E-01,3,6.55E+00,1.21E-01,3,0.08770558,0.000656013
73,14,Yao,2019,Soil Science Society of America Journal,17,107.7333333,35.2,cold,loam,0-10,8,upland,101.25,no,conventional,rainfed,legume,1,incorporated,2.98E+00,1.56E-01,3,3.89E+00,3.46E-01,3,0.266485857,0.003550604,6.00E+00,2.42E-01,3,6.21E+00,1.56E-01,3,0.034401427,0.00075261
74,14,Yao,2019,Soil Science Society of America Journal,17,107.7333333,35.2,cold,loam,10-30,8,upland,101.25,no,conventional,rainfed,legume,1,incorporated,3.23E+00,2.77E-01,3,4.03E+00,1.73E-01,3,0.221284239,0.00306578,6.39E+00,2.08E-01,3,6.67E+00,1.56E-01,3,0.042885592,0.000535524
75,14,Yao,2019,Soil Science Society of America Journal,17,107.7333333,35.2,cold,loam,10-30,8,upland,101.25,no,conventional,rainfed,legume,1,incorporated,3.23E+00,2.77E-01,3,3.68E+00,3.46E-01,3,0.130430615,0.005398203,6.39E+00,2.08E-01,3,6.62E+00,2.08E-01,3,0.035361102,0.000682257
76,14,Yao,2019,Soil Science Society of America Journal,17,107.7333333,35.2,cold,loam,10-30,8,upland,101.25,no,conventional,rainfed,legume,1,incorporated,3.23E+00,2.77E-01,3,3.76E+00,3.98E-01,3,0.15193682,0.006186323,6.39E+00,2.08E-01,3,6.21E+00,1.21E-01,3,-0.028573372,0.000479737
77,15,Acharya,2024,"Agriculture, Ecosystems and Environment ",18,-103.2183333,34.59972222,arid,clay loam,0-10,5,upland,200,no,no-tillage,irrigated,mixture,6,surface,1.58E+00,2.56E-01,4,2.00E+00,4.80E-01,4,0.235722334,0.020963051,6.86E+00,1.92E-01,4,7.58E+00,3.04E-01,4,0.099805758,0.00059795
78,15,Acharya,2024,"Agriculture, Ecosystems and Environment ",18,-103.2183333,34.59972222,arid,clay loam,0-10,5,upland,200,no,no-tillage,irrigated,non-legume,4,surface,1.58E+00,2.56E-01,4,2.20E+00,3.52E-01,4,0.331032513,0.012963051,6.86E+00,1.92E-01,4,7.58E+00,4.32E-01,4,0.099805758,0.001007861
79,15,Acharya,2024,"Agriculture, Ecosystems and Environment ",18,-103.2183333,34.59972222,arid,clay loam,0-10,5,upland,200,no,no-tillage,irrigated,mixture,4,surface,1.58E+00,2.56E-01,4,2.20E+00,1.92E-01,4,0.331032513,0.008467183,6.86E+00,1.92E-01,4,7.64E+00,3.04E-01,4,0.107690161,0.000591659
80,15,Acharya,2024,"Agriculture, Ecosystems and Environment ",18,-103.2183333,34.59972222,arid,clay loam,10-30,5,upland,200,no,no-tillage,irrigated,mixture,6,surface,8.64E-01,1.92E-01,4,9.04E-01,2.72E-01,4,0.045256592,0.034978618,6.70E+00,1.76E-01,4,7.05E+00,3.04E-01,4,0.05092009,0.000637356
81,15,Acharya,2024,"Agriculture, Ecosystems and Environment ",18,-103.2183333,34.59972222,arid,clay loam,10-30,5,upland,200,no,no-tillage,irrigated,non-legume,4,surface,8.64E-01,1.92E-01,4,1.06E+00,1.44E-01,4,0.204451418,0.016959421,6.70E+00,1.76E-01,4,6.74E+00,2.40E-01,4,0.005952399,0.000489498
82,15,Acharya,2024,"Agriculture, Ecosystems and Environment ",18,-103.2183333,34.59972222,arid,clay loam,10-30,5,upland,200,no,no-tillage,irrigated,mixture,4,surface,8.64E-01,1.92E-01,4,1.10E+00,1.60E-01,4,0.24149269,0.017634935,6.70E+00,1.76E-01,4,6.79E+00,1.92E-01,4,0.013343415,0.000372406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
