"","x","y","Total_Cu","Total_Fe","Total_Mn","Total_Zn","Total_Co","Total_Ni","Micronutrient","AMS_upland.micronutrient","AMS_upland.micronutrient_126","AMS_upland.micronutrient_370","AMS_paddy.micronutrient","AMS_paddy.micronutrient_126","AMS_paddy.micronutrient_370"
"885",22.26738,-33.16652,15.543782,33329.668133,451.719312,123.0008,5.897641,20.691723,33946.521391,-2.78116297721863,5.54071664810181,5.8045825958252,-5.65405559539795,-0.130401596426964,0.0395694822072983
"886",24.76612,-32.58716,7.335329,22057.884232,342.315369,72.55489,7.185629,15.06986,22502.345309,NA,NA,NA,-5.37832117080688,-2.19153237342834,-2.27500772476196
"887",24.76317,-32.59074,7.7,20087,341.65,69.6,6.95,13.8,20526.7,NA,NA,NA,-5.37832117080688,-2.19153237342834,-2.27500772476196
"888",24.68815,-32.62215,7.436614,20491.115991,320.97225,69.774406,7.137153,14.723498,20911.159912,-0.424832880496979,2.9990348815918,2.94005966186523,-5.10899543762207,-2.13193845748901,-2.25651168823242
"889",27.28013,-24.15138,18.638817,17704.877074,269.488307,20.137917,6.995803,22.686388,18042.824305,NA,NA,NA,NA,NA,NA
"890",27.2781,-24.14875,20.325609,22186.376348,294.996005,28.965242,8.989213,31.162605,22570.815022,NA,NA,NA,NA,NA,NA
"891",27.27751,-24.14367,35.17262,39315.006985,325.084813,40.061864,10.027939,35.920974,39761.275195,NA,NA,NA,NA,NA,NA
"892",27.28577,-24.13912,26.546906,33075.848303,541.267465,29.540918,14.271457,41.716567,33729.191617,NA,NA,NA,NA,NA,NA
"893",29.69779,-23.84714,12.887113,15750.749251,169.380619,11.738262,5.494505,26.573427,15976.823177,5.57431983947754,14.8369512557983,14.4788780212402,0.196899965405464,5.70148754119873,5.61788082122803
"894",29.69502,-23.84849,12,14951,199.95,11.9,8.15,60.85,15243.85,5.57431983947754,14.8369512557983,14.4788780212402,0.196899965405464,5.70148754119873,5.61788082122803
"895",29.6927,-23.84961,8.095143,8706.775934,101.239256,9.394363,3.697781,26.134319,8855.336798,5.57431983947754,14.8369512557983,14.4788780212402,0.196899965405464,5.70148754119873,5.61788082122803
"896",29.68705,-23.82898,11.424865,17706.046697,334.314508,15.066853,12.522451,124.476152,18203.851527,5.57431983947754,14.8369512557983,14.4788780212402,0.196899965405464,5.70148754119873,5.61788082122803
"897",26.21385,-26.08351,10.7,22654,1288.05,18.15,9,18.6,23998.5,1.65400314331055,12.6289014816284,12.2113056182861,-1.94646990299225,5.99191808700562,5.88251209259033
"898",26.21334,-26.08095,14.5,25496,1731.2,5.13,13.6,23.7,27284.13,1.65400314331055,12.6289014816284,12.2113056182861,-1.94646990299225,5.99191808700562,5.88251209259033
"899",26.21026,-26.07894,14,18749.5,1668.05,17.4,11.9,21.45,20482.3,1.65400314331055,12.6289014816284,12.2113056182861,-1.94646990299225,5.99191808700562,5.88251209259033
