x,y,Total_Cu,Total_Fe,Total_Mn,Total_Zn,Total_Co ,Total_Ni ,Micronutrient
-81.040400,28.296000,0.630035,119.352429,2.150413,2.588744,0.000000,0.347765,125.069386
-81.040400,28.296000,1.257859,342.470201,4.223903,4.749572,0.000000,1.086726,353.788260
-81.530300,27.471200,1.228338,883.157856,3.866116,5.575748,0.000000,0.987929,894.815986
-81.530300,27.471200,5.386699,640.511291,3.255147,15.799219,0.064813,0.833877,665.851046
-81.530300,27.471200,0.481535,265.984147,1.317298,1.276109,0.044282,0.458369,269.561739
-82.067800,26.909300,3.522906,589.631678,4.181532,4.540232,0.000000,1.302734,603.179083
-82.067800,26.909300,5.411788,154.162900,7.885361,6.899725,0.000000,0.489796,174.849570
-82.067800,26.909300,19.741303,333.941097,21.459820,23.218723,0.010947,0.401788,398.773678
-5.844497,37.201074,3.468286,3039.023632,59.466488,5.998381,1.061920,2.616375,3111.635083
-5.844497,37.201074,6.130419,4862.049427,85.477234,9.602909,1.670179,3.782718,4968.712887
-5.844497,37.201074,5.168805,3064.540126,68.652661,8.815210,1.071559,2.690726,3150.939087
-8.493462,40.095551,18.024071,38952.702703,241.622296,50.317085,14.056334,52.910222,39329.632711
-8.493462,40.095551,21.147373,53877.054680,261.361947,65.049079,13.239646,80.842804,54318.695529
-8.493462,40.095551,19.942162,49114.790837,268.622759,64.632636,16.955066,75.324662,49560.268121
-8.484950,41.157150,8.837798,20730.526316,30.735453,43.500662,0.596745,7.350182,20821.547156
-8.484950,41.157150,15.726725,24688.749286,106.620350,39.375309,2.138745,10.665218,24863.275632
-8.484950,41.157150,16.098215,11799.400097,490.305704,53.164174,2.448323,11.030851,12372.447363
35.129151,31.751981,8.031527,13707.462075,223.495300,23.823207,3.496733,14.107207,13980.416049
35.129151,31.751981,7.539129,13110.661269,207.940182,22.176855,3.193144,13.011576,13364.522155
35.129151,31.751981,8.654355,11624.341396,236.621010,29.358923,4.137006,15.603305,11918.715994
34.741503,31.249330,7.556515,16567.947350,240.341031,26.766973,5.345928,15.788938,16863.746735
34.741503,31.249330,8.794938,18000.367242,257.311452,29.635112,5.603585,17.225854,18318.938184
34.741503,31.249330,8.379978,17843.807763,252.922072,29.205881,5.546227,16.109619,18155.971541
34.650329,31.271070,6.483618,14052.560124,222.739290,25.592676,4.658551,13.819243,14325.853503
34.650329,31.271070,5.975820,13969.149737,203.804953,25.083497,4.277712,12.702988,14220.994707
34.650329,31.271070,6.403932,14868.071374,206.782310,21.236943,4.819195,13.237907,15120.551661
-111.425000,35.397000,131.816399,132130.247156,937.426442,68.654374,29.227148,102.785406,133400.156924
-111.425000,35.397000,57.081208,205280.502158,988.819145,70.223617,32.561789,95.723813,206524.911730
-111.425000,35.397000,46.862745,158541.176471,1085.098039,79.019608,36.862745,118.431373,159907.450980
-111.425000,35.397000,41.715173,99623.593326,969.732247,60.341482,31.431898,104.967016,100831.781141
-111.425000,35.397000,36.499215,110937.990581,1064.952904,72.605965,35.321821,107.535322,112254.905808
-111.273000,35.144000,32.378336,85600.470958,916.601256,67.503925,23.547881,88.304553,86728.806907
-111.273000,35.144000,30.416013,91208.791209,987.048666,66.915228,25.902669,83.987441,92403.061224
-111.273000,35.144000,33.894984,140787.617555,940.047022,75.431034,23.902821,73.275862,141934.169279
-111.273000,35.144000,34.951456,105227.184466,896.310680,70.485437,20.194175,93.009709,106342.135922
-111.273000,35.144000,28.420227,82559.780478,960.407683,67.228538,27.048216,94.472756,83737.357899
-111.867000,35.539000,27.265594,74252.648097,911.533935,76.108278,20.792468,23.734798,75312.083170
-111.867000,35.539000,25.338491,63009.671180,831.141199,49.129594,17.214700,40.038685,63972.533849
-111.867000,35.539000,31.973323,93632.797175,977.245979,72.577481,20.007846,31.973323,94766.575128
-111.867000,35.539000,28.420227,81148.569189,1026.264210,71.932575,24.892199,24.108193,82324.186593
-111.867000,35.539000,25.686275,70639.215686,973.333333,75.882353,20.980392,21.372549,71756.470588
-112.136000,35.385000,27.089783,63440.402477,791.989164,51.470588,16.447368,79.527864,64406.927245
-112.136000,35.385000,26.470588,83262.745098,1065.098039,65.686275,22.549020,50.784314,84493.333333
-112.136000,35.385000,27.657905,102581.404472,1113.573951,65.515889,26.480973,84.346803,103898.979992
-112.136000,35.385000,29.204234,99302.234418,1059.388475,66.444532,24.892199,82.516660,100564.680517
