ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,species,unit,cellulase.ck (nmol h-1 g-1 soil),cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn,rrcellulase,varcellulase
51,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.00E+02,2.05E+01,3,1.12E+02,17.150448,3,0.113328685,0.021824497
52,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.00E+02,2.05E+01,3,9.23E+01,14.1338067,3,-0.080126044,0.021824497
53,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,5.00E+01,1.02E+01,3,1.31E+02,20.059899,3,0.963174318,0.021688164
54,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,5.00E+01,1.02E+01,3,1.38E+02,21.131802,3,1.01523068,0.021688164
55,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,5.00E+01,1.02E+01,3,1.04E+02,15.925416,3,0.732367894,0.021688164
56,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,5.00E+01,1.02E+01,3,6.15E+01,9.4174335,3,0.207014169,0.021688164
57,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.39E+02,2.85E+01,3,1.63E+02,24.960027,3,0.159276268,0.021829413
58,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.39E+02,2.85E+01,3,1.57E+02,24.041253,3,0.121771872,0.021829413
59,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.39E+02,2.85E+01,3,1.88E+02,28.788252,3,0.30196803,0.021829413
60,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.39E+02,2.85E+01,3,1.82E+02,27.869478,3,0.269532754,0.021829413
61,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,2.47E+02,5.06E+01,3,2.61E+02,39.966669,3,0.055132071,0.021805138
62,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,2.47E+02,5.06E+01,3,2.61E+02,39.966669,3,0.055132071,0.021805138
63,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,2.47E+02,5.06E+01,3,3.43E+02,52.523247,3,0.328342111,0.021805138
64,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,2.47E+02,5.06E+01,3,3.84E+02,58.801536,3,0.441254216,0.021805138
65,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.33E+02,2.73E+01,3,1.92E+02,29.400768,3,0.367146244,0.021860485
66,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.33E+02,2.73E+01,3,1.67E+02,25.572543,3,0.227644684,0.021860485
67,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.33E+02,2.73E+01,3,2.02E+02,30.932058,3,0.417918569,0.021860485
68,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.33E+02,2.73E+01,3,1.86E+02,28.481994,3,0.335397545,0.021860485
69,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.10E+02,2.25E+01,3,1.67E+02,25.572543,3,0.417513447,0.021762445
